"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14303024","JK384810","2026-08-23T22:24:00.000","051XX W DIVERSEY AVE","0312","ROBBERY","ARMED - KNIFE / CUTTING INSTRUMENT","DEPARTMENT STORE","true","false","2521","025","31","19","03","1141596","1918129","2026","2026-08-31T15:53:00.000","41.931417509","-87.755078443","
,  
(41.931417509, -87.755078443)"
"14303090","JK384946","2026-08-23T22:19:00.000","014XX N SPRINGFIELD AVE","5002","OTHER OFFENSE","OTHER VEHICLE OFFENSE","VEHICLE NON-COMMERCIAL","false","false","2535","025","26","23","26","1150119","1909199","2026","2026-08-31T15:53:00.000","41.906750761","-87.723990805","
,  
(41.906750761, -87.723990805)"
"14303114","JK384862","2026-08-23T22:08:00.000","038XX N OCONTO AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true","1631","016","38","17","08B","1127053","1924746","2026","2026-08-31T15:53:00.000","41.949832076","-87.808373549","
,  
(41.949832076, -87.808373549)"
"14303050","JK384800","2026-08-23T22:01:00.000","105XX S MICHIGAN AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0512","005","9","49","08B","1178848","1835093","2026","2026-08-31T15:53:00.000","41.702788818","-87.620715211","
,  
(41.702788818, -87.620715211)"
"14303471","JK385401","2026-08-23T22:00:00.000","001XX N STETSON AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0114","001","42","32","07","1177872","1901506","2026","2026-08-31T15:53:00.000","41.88505457","-87.622277594","
,  
(41.88505457, -87.622277594)"
"14303515","JK385252","2026-08-23T22:00:00.000","032XX S RACINE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0913","009","11","60","07","1168844","1883368","2026","2026-08-31T15:53:00.000","41.83548288","-87.655955147","
,  
(41.83548288, -87.655955147)"
"14303228","JK385024","2026-08-23T22:00:00.000","023XX N SACRAMENTO AVE","0917","MOTOR VEHICLE THEFT","CYCLE, SCOOTER, BIKE WITH VIN","STREET","false","false","1414","014","35","22","07","1155977","1915551","2026","2026-08-31T15:53:00.000","41.924064965","-87.702300194","
,  
(41.924064965, -87.702300194)"
"14305887","JK388253","2026-08-23T22:00:00.000","027XX S SPRINGFIELD AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1031","010","22","30","14","1150820","1885445","2026","2026-08-31T15:53:00.000","41.841553431","-87.722037173","
,  
(41.841553431, -87.722037173)"
"14304253","JK385133","2026-08-23T22:00:00.000","032XX S PRINCETON AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0915","009","11","34","14","1174813","1883572","2026","2026-08-31T15:53:00.000","41.835911418","-87.634047017","
,  
(41.835911418, -87.634047017)"
"14303119","JK384870","2026-08-23T22:00:00.000","045XX S WALLACE ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0925","009","15","61","14","1173051","1874983","2026","2026-08-31T15:53:00.000","41.812381595","-87.640766408","
,  
(41.812381595, -87.640766408)"
"14303395","JK385344","2026-08-23T22:00:00.000","004XX E 110TH PL","0820","THEFT","$500 AND UNDER","VEHICLE NON-COMMERCIAL","false","false","0513","005","9","49","06","1181063","1831622","2026","2026-08-31T15:53:00.000","41.693213341","-87.612710835","
,  
(41.693213341, -87.612710835)"
"14303091","JK384833","2026-08-23T22:00:00.000","028XX W 64TH ST","051A","ASSAULT","AGGRAVATED - HANDGUN","APARTMENT","false","false","0823","008","15","66","04A","1158328","1862073","2026","2026-08-31T15:53:00.000","41.777267706","-87.695122058","
,  
(41.777267706, -87.695122058)"
"14303307","JK385231","2026-08-23T22:00:00.000","023XX E 69TH ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","0331","003","5","43","06","1192661","1859660","2026","2026-08-31T15:53:00.000","41.769878112","-87.569337612","
,  
(41.769878112, -87.569337612)"
"14302987","JK384805","2026-08-23T22:00:00.000","048XX N HERMITAGE AVE","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","OTHER (SPECIFY)","false","false","2032","020","47","3","26","1163922","1932354","2026","2026-08-31T15:53:00.000","41.970009106","-87.672631167","
,  
(41.970009106, -87.672631167)"
"14302977","JK384803","2026-08-23T22:00:00.000","021XX W 52ND PL","0460","BATTERY","SIMPLE","STREET","false","false","0932","009","16","61","08B","1163093","1869663","2026","2026-08-31T15:53:00.000","41.797997283","-87.677441259","
,  
(41.797997283, -87.677441259)"
"14303056","JK384821","2026-08-23T21:56:00.000","027XX N MELVINA AVE","0460","BATTERY","SIMPLE","RESIDENCE","true","false","2512","025","36","19","08B","1134603","1917545","2026","2026-08-31T15:53:00.000","41.929941493","-87.780790739","
,  
(41.929941493, -87.780790739)"
"14303177","JK384809","2026-08-23T21:55:00.000","001XX S CICERO AVE","031A","ROBBERY","ARMED - HANDGUN","GAS STATION","false","false","1113","011","28","25","03","1144415","1898849","2026","2026-08-31T15:53:00.000","41.878458449","-87.745204753","
,  
(41.878458449, -87.745204753)"
"14303023","JK384806","2026-08-23T21:50:00.000","098XX S DOBSON AVE","0560","ASSAULT","SIMPLE","RESIDENCE","false","true","0511","005","8","50","08A","1184952","1839887","2026","2026-08-31T15:53:00.000","41.715803359","-87.598214238","
,  
(41.715803359, -87.598214238)"
"14303009","JK384788","2026-08-23T21:45:00.000","0000X E ONTARIO ST","0560","ASSAULT","SIMPLE","STREET","false","false","1834","018","42","8","08A","1176746","1904502","2026","2026-08-31T15:53:00.000","41.893301278","-87.626321754","
,  
(41.893301278, -87.626321754)"
"14303687","JK384789","2026-08-23T21:37:00.000","105XX S WALDEN PKWY","0440","BATTERY","AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY","APARTMENT","false","false","2212","022","19","72","08B","1165490","1834849","2026","2026-08-31T15:53:00.000","41.702412152","-87.669635833","
,  
(41.702412152, -87.669635833)"
"14304691","JK386868","2026-08-23T21:37:00.000","003XX N DEARBORN ST","0610","BURGLARY","FORCIBLE ENTRY","COMMERCIAL / BUSINESS OFFICE","false","false","1831","018","42","8","05","1175883","1902611","2026","2026-08-31T15:53:00.000","41.888131743","-87.629548167","
,  
(41.888131743, -87.629548167)"
"14302997","JK384786","2026-08-23T21:31:00.000","016XX W 95TH ST","0860","THEFT","RETAIL THEFT","DRUG STORE","false","false","2213","022","19","73","06","1166969","1841705","2026","2026-08-31T15:53:00.000","41.7211947","-87.664024973","
,  
(41.7211947, -87.664024973)"
"14303156","JK384972","2026-08-23T21:30:00.000","031XX S PULASKI RD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1031","010","22","30","08B","1150210","1883417","2026","2026-08-31T15:53:00.000","41.836000227","-87.72432846","
,  
(41.836000227, -87.72432846)"
"14303049","JK384841","2026-08-23T21:30:00.000","009XX W 63RD ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true","0723","007","16","68","08B","1171308","1863061","2026","2026-08-31T15:53:00.000","41.779704696","-87.647508582","
,  
(41.779704696, -87.647508582)"
